route_id,route_name,departure_slot,fleet_id,trip_count,avg_delay_minutes,max_delay_minutes,high_delay_count,avg_delay_risk_probability,main_delay_reason,risk_rank,risk_category
R003,Yogyakarta - Surabaya,Pagi,BUS-015,1,72.0,72,1,1.0,Terminal Padat,1,High
R004,Yogyakarta - Semarang,Sore,BUS-059,1,61.0,61,1,1.0,Lalu Lintas,2,High
R006,Yogyakarta - Denpasar,Malam,BUS-025,1,53.0,53,1,1.0,Terminal Padat,3,High
R010,Yogyakarta - Lampung,Sore,BUS-064,1,53.0,53,1,1.0,Cuaca Buruk,4,High
R005,Yogyakarta - Malang,Dini Hari,BUS-023,1,52.0,52,1,1.0,Terminal Padat,5,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-072,1,51.0,51,1,1.0,Jalan Rusak,6,High
R001,Yogyakarta - Jakarta,Pagi,BUS-076,1,49.0,49,1,1.0,Terminal Padat,7,High
R010,Yogyakarta - Lampung,Dini Hari,BUS-011,1,49.0,49,1,1.0,Jalan Rusak,8,High
R010,Yogyakarta - Lampung,Siang,BUS-039,1,49.0,49,1,1.0,Cuaca Buruk,9,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-042,1,48.0,48,1,1.0,Lalu Lintas,10,High
R006,Yogyakarta - Denpasar,Pagi,BUS-017,1,48.0,48,1,1.0,Terminal Padat,11,High
R008,Yogyakarta - Purwokerto,Sore,BUS-060,1,48.0,48,1,1.0,Terminal Padat,12,High
R002,Yogyakarta - Bandung,Malam,BUS-061,2,47.5,50,2,1.0,Jalan Rusak,13,High
R005,Yogyakarta - Malang,Pagi,BUS-002,1,47.0,47,1,1.0,Cuaca Buruk,14,High
R006,Yogyakarta - Denpasar,Pagi,BUS-016,1,47.0,47,1,1.0,Terminal Padat,15,High
R010,Yogyakarta - Lampung,Sore,BUS-061,1,47.0,47,1,1.0,Lalu Lintas,16,High
R010,Yogyakarta - Lampung,Pagi,BUS-003,1,46.0,46,1,1.0,Teknis Armada,17,High
R010,Yogyakarta - Lampung,Siang,BUS-050,1,46.0,46,1,1.0,Terminal Padat,18,High
R002,Yogyakarta - Bandung,Siang,BUS-036,1,45.0,45,1,1.0,Terminal Padat,19,High
R006,Yogyakarta - Denpasar,Siang,BUS-070,1,45.0,45,1,1.0,Cuaca Buruk,20,High
R010,Yogyakarta - Lampung,Pagi,BUS-014,1,45.0,45,1,1.0,Jalan Rusak,21,High
R010,Yogyakarta - Lampung,Pagi,BUS-062,1,45.0,45,1,1.0,Teknis Armada,22,High
R001,Yogyakarta - Jakarta,Malam,BUS-065,2,43.5,44,2,1.0,Lalu Lintas,23,High
R006,Yogyakarta - Denpasar,Sore,BUS-051,2,43.5,54,2,1.0,Cuaca Buruk,24,High
R006,Yogyakarta - Denpasar,Sore,BUS-026,1,43.0,43,1,1.0,Terminal Padat,25,High
R007,Yogyakarta - Solo,Dini Hari,BUS-015,1,43.0,43,1,1.0,Jalan Rusak,26,High
R006,Yogyakarta - Denpasar,Malam,BUS-030,1,42.0,42,1,1.0,Terminal Padat,27,High
R003,Yogyakarta - Surabaya,Sore,BUS-021,1,41.0,41,1,1.0,Cuaca Buruk,28,High
R006,Yogyakarta - Denpasar,Pagi,BUS-002,1,41.0,41,1,1.0,Jalan Rusak,29,High
R009,Yogyakarta - Madiun,Dini Hari,BUS-080,1,41.0,41,1,1.0,Terminal Padat,30,High
R008,Yogyakarta - Purwokerto,Dini Hari,BUS-057,1,40.0,40,1,1.0,Lalu Lintas,31,High
